% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.085              w @ t=0.085              T @ t=0.085              S @ t=0.085              spf.vorticityphi @ t=0.085
0.3999999999999999        0.8481818181818199       8.897282140839417        -0.29879801045005233     -0.0754957940240305      0.7149318873693209       66.45938015980522
0.38                      0.8481818181818197       8.571296783061516        -0.20639404255820637     -0.07338330703646599     0.7161970614096533       64.26957328864964
0.3599999999999999        0.8481818181818197       8.238346906747962        -0.11764960481084041     -0.07143518423229885     0.7173646967477956       61.65796528825875
0.34                      0.8481818181818196       7.89728647584018         -0.03296765674175944     -0.06964089244692397     0.7184410327276585       58.53035424346813
0.31999999999999995       0.8481818181818195       7.545927779319198        0.04741375221207293      -0.0679910188391292      0.7194319037773595       54.744403890230146
0.3                       0.8481818181818196       7.1807764935221154       0.12302421065913585      -0.06647730528662257     0.7203425430375635       50.266311758879795
0.2799999999999999        0.8481818181818196       6.797706969464034        0.19283944166245917      -0.06509255114078936     0.7211772952995368       45.3087076774557
0.2599999999999999        0.8481818181818194       6.393362411539222        0.25546841158058575      -0.06383045665624419     0.7219394369254437       40.27304190684738
0.2399999999999999        0.8481818181818193       5.966134732038765        0.3100042395561573       -0.06268546479182606     0.7226314822185157       35.474552417770404
0.21999999999999997       0.8481818181818194       5.516462913308534        0.35649455467798474      -0.06165262380120319     0.723255880602765        31.02221497052463
0.19999999999999996       0.8481818181818191       5.046847994567435        0.3952185488356921       -0.060727457982934066    0.7238151161588712       27.025474194991748
0.17999999999999994       0.8481818181818193       4.561135832069751        0.42615939759071586      -0.05990584283584163     0.7243111352061659       23.662138052904144
0.15999999999999992       0.8481818181818193       4.063385409586276        0.44956895840915784      -0.05918390164031068     0.7247454584212515       20.95255089723757
0.13999999999999999       0.8481818181818188       3.5574010270200205       0.4663938288599175       -0.05855793342348506     0.7251198758997344       18.68320018478764
0.11999999999999994       0.848181818181819        3.046863443548144        0.47801425791909513      -0.05802437737615995     0.725436724183749        16.606617325470616
0.09999999999999998       0.8481818181818188       2.535199815087745        0.48588285425783073      -0.057579826035908915    0.7256986227707064       14.572644941245377
0.07999999999999999       0.8481818181818186       2.0248000193831444       0.4914251794433064       -0.0572210964671815      0.725908237777757        12.419080520455946
0.06000000000000001       0.8481818181818188       1.5165003827945587       0.49582478454588697      -0.05694534541468263     0.7260682564487329       9.915159025772727
0.04000000000000002       0.8481818181818184       1.0100220680263168       0.49953406263607186      -0.05675019630335261     0.7261810747751153       6.932973725202162
0.4600000000000002        0.877272727272729        5.877549648474864        -0.3573108595157224      -0.08388287262315001     0.6670088918167052       -356.9362922046201
0.44000000000000006       0.877272727272729        6.001528477126423        -0.3223896751669424      -0.08069733760179491     0.6690365414378991       -325.3394730212349
0.42000000000000015       0.8772727272727291       6.0500585968177205       -0.28235654539794347     -0.07775364280740475     0.6709106799505623       -297.1646428083455
0.39999999999999997       0.8772727272727288       6.039111534715986        -0.24106315495817643     -0.07503816827942336     0.6726402024026632       -271.9829332057948
