% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.03               w @ t=0.03               T @ t=0.03               S @ t=0.03               spf.vorticityphi @ t=0.03
0.1999999999999989        0                        0                        0                        -0.06696786054134532     0.9965167470494886       -5094.275807698905
0.1999999999999989        0.0041666666666666675    -20.431137346237676      0.21279013409047876      -0.06698174312028064     0.9962926995968344       -4708.1827531918625
0.17999999999999883       0                        0                        0                        -0.06656220266547026     0.9967589096155498       -5015.719459860349
0.17999999999999894       0.0041666666666666675    -20.13255551719918       0.3062579404985279       -0.06657705770110103     0.9965407150883674       -4641.743634462174
0.15999999999999875       0                        0                        0                        -0.06611253257592731     0.9970351877778724       -4727.635927631388
0.15999999999999875       0.0041666666666666675    -19.017506419686395      0.4187106916048993       -0.06612847191010093     0.9968218828578562       -4393.910628630324
0.13999999999999868       0                        0                        0                        -0.06559207441764782     0.9973691358935443       -4187.068718625332
0.13999999999999868       0.0041666666666666675    -16.917231796950418      0.5284094203231475       -0.06560899973263105     0.9971584681415969       -3927.215182723132
0.11999999999999861       0                        0                        0                        -0.06497213877261268     0.9977959041726606       -3396.3503059255736
0.11999999999999865       0.0041666666666666675    -13.842685551139834      0.6107992926664751       -0.06498949122442102     0.9975878824107387       -3244.337571555305
0.09999999999999853       0                        0                        0                        -0.06423729796349602     0.9983553412987738       -2401.0459756831183
0.09999999999999858       0.0041666666666666675    -9.982250570384243       0.6402561748499958       -0.0642537706131768      0.998161889266239        -2390.4534468891966
0.07999999999999846       0                        0                        0                        -0.06341447050855423     0.9990282222503872       -1324.4559747900485
0.07999999999999849       0.0041666666666666675    -5.802154590062394       0.5743168618512792       -0.06342823453544741     0.9988879571508785       -1470.152245087225
0.05999999999999839       0                        0                        0                        -0.06259375323797359     0.9995960007092808       -432.033009193304
0.05999999999999845       0.0041666666666666675    -2.254771783973616       0.3721067033043951       -0.06260365689846484     0.9995409025216132       -666.9608185479593
0.039999999999998315      0                        0                        0                        -0.06190280209598358     0.9998669860530962       40.752710461421586
0.03999999999999836       0.0041666666666666675    -0.23695723242346678     0.12773297228206015      -0.06190929522904931     0.9998545528443703       -166.46039933138508
0.01999999999999824       0                        0                        0                        -0.061449509089303904    0.9999564072719033       132.09403803900494
0.019999999999998293      0.0041666666666666675    0.30781001980510336      -0.04254921112683216     -0.06145399438133893     0.999953350376483        10.059655263222522
0                         0                        0                        0                        -0.0612925784828821      0.9999771288211101       27.5273764157678
0                         0.0041666666666666675    0.04072641666705083      -0.10224385067727038     -0.06129644832499274     0.9999757366146906       -3.9720311323324364
0.4799999999999999        0.009848484848484874     -42.728938436520984      0.4062155950495259       -0.07357531163730678     0.9927202188888957       -3798.6790730622265
0.5                       0.009848484848484869     -42.464643136152006      0.35889730440977075      -0.07418444288711429     0.9925305605878622       -3769.588118842444
0                         0.00984848484848485      0.027305331648250424     -0.3525752734313151      -0.06131396901422467     0.9999694259009384       -2.178802671680266
0.019999999999998363      0.00984848484848485      0.040504028848999236     -0.03504943397691914     -0.061474387334200645    0.9999383312524711       -141.19622200221346
0.4799999999999998        0.01704545454545457      -67.39066149690575       1.1344350991871026       -0.07365629235674032     0.9921017373869007       -3043.4401447692544
